yr,season,cat_no,cat_type,PM,TOG,NOx,SOx,CO,CO2,CH4,N2O,HFC,BCO2
1990,Annual,27,Area,0,0.494,0,0,0,0,0,0,0,0
1990,Annual,29,Area,1.92,0.863,0,0,0,215.45,0,0,0,0
1990,Annual,32,Area,0,0.273,0,0,0,0,0,0,0,0
1990,Annual,37,Area,0,4.041,0,0,0,0,0,0,0,0
1990,Annual,52,Area,0,0.1,0,0,0,0,0.0015,0.006,0,0
1990,Annual,61,Area,0,14.99,0,0,0,0,14.7419,0,0,0
1990,Annual,66,Area,0,1.273,0,0,0,0,0,0,0,0
1990,Annual,68,Area,0,0.257,0,0,0,0,0,0,0,0
1990,Annual,69,Area,0,0.006,0,0,0,0,0,0,0,0
1990,Annual,71,Area,0,0.029,0,0,0,0,0,0,0,0
1990,Annual,72,Area,0,2.204,0,0,0,0,0,0,0,0
1990,Annual,73,Area,0,0.004,0,0,0,0,0,0,0,0
1990,Annual,75,Area,0,0.03,0,0,0,0,0,0,0,0
1990,Annual,76,Area,0,2.572,0,0,0,0,0,0,0,0
1990,Annual,77,Area,0,0.061,0,0,0,0,0,0,0,0
1990,Annual,79,Area,0,0.648,0,0,0,0,0,0,0,0
1990,Annual,81,Area,0,0.831,0,0,0,0,0,0,0,0
1990,Annual,82,Area,0,0.006,0,0,0,0,0,0,0,0
1990,Annual,83,Area,0,0.126,0,0,0,0,0,0,0,0
1990,Annual,86,Area,0,1.076,0,0,0,0,0,0,0,0
1990,Annual,88,Area,0,0.926,0,0,0,0,0,0,0,0
1990,Annual,89,Area,0,0.158,0,0,0,0,0,0,0,0
1990,Annual,90,Area,0,0.045,0,0,0,0,0,0,0,0
1990,Annual,91,Area,0,3.062,0,0,0,0,0,0,0,0
1990,Annual,95,Area,0,0.032,0,0,0,0,0,0,0,0
1990,Annual,96,Area,0,0.012,0,0,0,0,0,0,0,0
1990,Annual,97,Area,0,0.522,0,0,0,0,0,0,0,0
1990,Annual,118,Area,0,4.087,0,0,0,0,0,0,0,0
1990,Annual,283,Area,0.735,1.064,9.092,0.058,3.869,11606.56,0.2225,0.2128,0,0
1990,Annual,284,Area,0.494,0.715,6.107,0.039,2.599,7795.75,0.1494,0.1429,0,0
1990,Annual,285,Area,0.054,0.078,0.663,0.004,0.282,846.33,0.0162,0.0155,0,0
1990,Annual,286,Area,0.009,0.023,0.29,0.017,0.061,396.57,0.0063,0.0286,0,0
1990,Annual,287,Area,0.009,0.009,0.068,0.268,0.019,96.65,0.0018,0.002,0,0
1990,Annual,288,Area,5.481,7.388,0.374,0.067,36.635,0,5.0483,0.0538,0,504.83
1990,Annual,289,Area,12.484,10.46,0.877,0.135,85.229,0,10.1222,0.108,0,1012.22
1990,Annual,315,Area,0.075,0.101,0.045,0.001,0.611,0,0.0012,0.003,0,1.5
1990,Annual,316,Area,0.042,0.058,0.011,0.001,0.294,0,0.0128,0.0006,0,0.29
1990,Annual,317,Area,0.233,0.272,0.07,0.009,1.645,0,0.0433,0.0035,0,1.73
1990,Annual,318,Area,0.032,0.038,0.009,0.001,0.228,0,0.0088,0.0006,0,0.29
1990,Annual,319,Area,0.011,0.015,0.007,0,0.087,0,0.0075,0.0005,0,0.23
1990,Annual,441,Area,0.002,0.081,0.029,0.006,0.176,9.09,0.0018,0.0003,0,0
1990,Annual,442,Area,0.001,0.042,0.015,0.003,0.091,19.66,0.0039,0.0006,0,0
1990,Annual,443,Area,0.01,0.12,0.025,0.7,0.7,113.54,0.0223,0.0036,0,0
1990,Annual,444,Area,0.002,0.082,0.029,0.006,0.179,9.25,0.0018,0.0003,0,0
1990,Annual,446,Area,0.001,0.044,0.016,0.003,0.096,12.06,0.0024,0.0004,0,0
1990,Annual,447,Area,0.002,0.058,0.021,0.004,0.127,10.25,0.002,0.0003,0,0
1990,Annual,448,Area,0.001,0.026,0.009,0.002,0.056,1.45,0.0003,0,0,0
1990,Annual,449,Area,0.001,0.058,0.021,0.004,0.125,1.32,0.0003,0,0,0
1990,Annual,450,Area,0,0.01,0,0,0.06,7.16,0.0014,0.0002,0,0
1990,Annual,451,Area,0.002,0.091,0.033,0.006,0.197,51.54,0.0101,0.0016,0,0
1990,Annual,452,Area,0.002,0.064,0.013,0.005,0.533,41.55,0.0081,0.0013,0,0
1990,Annual,453,Area,0,0.014,0.005,0.001,0.031,0.81,0.0002,0,0,0
1990,Annual,455,Area,0.001,0.05,0.019,0.003,0.109,17.11,0.0034,0.0005,0,0
1990,Annual,456,Area,0.017,0.048,0.007,0.003,1.403,50.03,0.0078,0.0019,0,0
1990,Annual,463,Area,0.009,0.025,0.003,0.002,0.728,48.44,0.0076,0.0019,0,0
1990,Annual,475,Area,0.05,0.07,0.01,1.9,1.9,93.48,0.0146,0.0036,0,0
1990,Annual,489,Area,0.017,0.048,0.007,0.003,1.425,50.89,0.0079,0.002,0,0
1990,Annual,496,Area,0.009,0.021,0.003,0.002,0.703,35.25,0.0055,0.0014,0,0
1990,Annual,503,Area,0,0,0,0,0.007,1.02,0.0002,0,0,0
1990,Annual,505,Area,0,0.001,0,0,0.028,4.07,0.0006,0.0002,0,0
1990,Annual,507,Area,0,0,0,0,0.002,0.33,0.0001,0,0,0
1990,Annual,510,Area,0,0,0,0,0,0.04,0,0,0,0
1990,Annual,511,Area,0.012,0.034,0.005,0.002,1.012,35.95,0.0056,0.0014,0,0
1990,Annual,520,Area,0.005,0.012,0.002,0.001,0.409,16.11,0.0025,0.0006,0,0
1990,Annual,527,Area,0.012,0.027,0.004,0.002,0.921,36.71,0.0057,0.0014,0,0
1990,Annual,534,Area,0,0.01,0,0.01,0.18,5.89,0.0009,0.0002,0,0
1990,Annual,541,Area,0.018,0.041,0.006,0.004,1.386,49.71,0.0077,0.0019,0,0
1990,Annual,548,Area,0.019,0.043,0.006,0.004,1.447,52.08,0.0081,0.002,0,0
1990,Annual,555,Area,0.012,0.016,0.002,0,0.794,34.2,0.0053,0.0013,0,0
1990,Annual,562,Area,0.003,0.006,0.001,0.001,0.196,8.93,0.0014,0.0003,0,0
1990,Annual,593,Area,0,0,0,0,0.003,0.41,0.0001,0,0,0
1990,Annual,597,Area,0.01,0.024,0.003,0.002,0.804,30.1,0.0047,0.0012,0,0
1990,Annual,615,Area,0.005,0.01,0.002,0.001,0.349,14.31,0.0022,0.0005,0,0
1990,Annual,619,Area,0,0,0,0,0,0,0,0,0,0
1990,Annual,626,Area,0,0,0,0,0.016,2.35,0.0004,0.0001,0,0
1990,Annual,632,Area,0,0,0,0,0.015,2.12,0.0003,0.0001,0,0
1990,Annual,639,Area,0.44,0.78,0.32,0.03,1.79,0,0,0,0,0
1990,Annual,646,Area,0.116,0.651,0.199,0.015,1.818,18.18,0.002,0.0007,0,0
1990,Annual,658,Area,1.6,5.05,3.456,0.311,6.916,827.46,0.0395,0.0258,0,0
1990,Annual,670,Area,0,0,0,0,0.01,3.89,0.0004,0.0001,0,0
1990,Annual,673,Area,0,0,0,0,0.002,0.7,0.0001,0,0,0
1990,Annual,676,Area,0,0,0,0,0.002,0.51,0.0001,0,0,0
1990,Annual,679,Area,0,0,0,0,0,0.05,0,0,0,0
1990,Annual,682,Area,0.01,0.04,0.02,0,0.09,0,0,0,0,0
1990,Annual,687,Area,0.012,0.057,0.028,0.004,0.112,106.96,0.0964,0.0034,0,0
1990,Annual,694,Area,0.002,0.001,0.004,0.001,0.014,3.19,0.0029,0.0001,0,0
1990,Annual,699,Area,0,0.02,0,0,0.02,13.06,0.0005,0.0001,0,0
1990,Annual,702,Area,0,0.003,0.002,0.01,0.01,3.98,0.0002,0,0,0
1990,Annual,705,Area,0,0.003,0,0,0.005,2.89,0.0001,0,0,0
1990,Annual,708,Area,0,0,0,0,0,0.2,0,0,0,0
1990,Annual,711,Area,0,0.004,0.001,0,0.289,0.02,0,0,0,0
1990,Annual,744,Area,13.796,0,0,0,0,0,0,0,0,0
1990,Annual,745,Area,13.895,0,0,0,0,0,0,0,0,0
1990,Annual,746,Area,3.607,0,0,0,0,0,0,0,0,0
1990,Annual,747,Area,7.946,0,0,0,0,0,0,0,0,0
1990,Annual,748,Area,13.859,0,0,0,0,0,0,0,0,0
1990,Annual,749,Area,3.338,0,0,0,0,0,0,0,0,0
1990,Annual,750,Area,0.234,0.301,0.087,0,3.632,0,0.0362,0.0007,0,24.03
