yr,season,cat_no,cat_type,PM,TOG,NOx,SOx,CO,CO2,CH4,N2O,HFC,BCO2
1990,Annual,10,Point,1.12,0.77,0.31,24.97,0,0.07,0,0,0,0
1990,Annual,11,Point,0,7.53,0,0,0,1.26,0,0,0,0
1990,Annual,12,Point,0,0.35,0,0,0,0.08,0,0,0,0
1990,Annual,13,Point,0,0.99,0,0,0,0,0,0,0,0
1990,Annual,14,Point,0,0.01,0,0,0,0,0,0,0,0
1990,Annual,15,Point,0.09,15.31,2.21,12.65,0.79,4417,1.7858,0.0221,0,0
1990,Annual,16,Point,0.06,0.21,0.02,0.02,0.05,8090.38,0,0,0,0
1990,Annual,17,Point,0,10.91,0,0,0,0,0,0,0,0
1990,Annual,18,Point,0,2.3,0,0,0,3.58,0,0,0,0
1990,Annual,19,Point,0,1.19,0,0,0,0,0,0,0,0
1990,Annual,21,Point,0.006,0.02,0.047,0.867,0.034,0.17,0,0,0,0
1990,Annual,22,Point,0.127,0,0,1.752,0,0,0,0,0,0
1990,Annual,23,Point,0.048,0.597,0,0,0,0,0,0,0,0
1990,Annual,24,Point,0.001,0.01,0,0,0,0.01,0,0,0,0
1990,Annual,25,Point,0.002,0.035,0,0,0,0.01,0,0,0,0
1990,Annual,26,Point,1.019,0.546,1.67,4.548,26.949,346.8,0,0,0,0
1990,Annual,28,Point,0.007,0.597,0,0,0,1.11,0,0,0,0
1990,Annual,31,Point,0,0.002,0,0,0,0,0,0,0,0
1990,Annual,33,Point,1.173,0.178,0.012,0.019,0.137,0.95,0.0007,0.0021,0,143.04
1990,Annual,34,Point,2.316,0.166,0.007,0.003,0.011,0,0,0,0,0
1990,Annual,35,Point,0.036,0,0,0,0,0,0,0,0,0
1990,Annual,36,Point,0.707,0.145,0.341,0.03,0.449,2276.48,0,0,0,0
1990,Annual,38,Point,1.245,0.048,0.02,0.002,0.077,0,0,0,0,0
1990,Annual,39,Point,0.948,0,0,0,0,0,0,0,0,0
1990,Annual,40,Point,2.813,0.061,0.067,0.411,0.012,0.01,0,0,0,0
1990,Annual,41,Point,5.635,0.003,0,0,0,0,0,0,0,0
1990,Annual,42,Point,0.127,0,0,0,0,0,0,0,0,0
