cat_id,TOG,ROG
10,1,0.6986
11,1,0.954
12,1,0.954
13,1,1
14,1,0.954
15,1,0.7536
16,1,0.6195
17,1,0.656
18,1,0.955
19,1,0.656
20,1,1
21,1,0.6986
22,1,0.6986
23,1,0.945
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,0.6986
34,1,0.6986
35,1,0.6986
36,1,0.6986
37,1,0.6986
38,1,1
39,1,0.6986
40,1,0.6986
41,1,0.6986
42,1,0.6986
43,1,0.8311
44,1,0.8311
45,1,0.6986
46,1,0.8745
47,1,0.6986
48,1,0.6388
49,1,0.262
50,1,1
51,1,0.014
52,1,0.8689
53,1,0.6986
54,1,0.6986
55,1,0.954
56,1,1
57,1,0.954
58,1,0.954
59,1,1
60,1,0.954
61,1,0.012
62,1,1
63,1,1
64,1,1
65,1,1
66,1,1
67,1,1
68,1,1
69,1,1
70,1,1
71,1,1
72,1,1
73,1,1
74,1,1
75,1,1
76,1,1
77,1,1
78,1,1
79,1,1
80,1,1
81,1,1
82,1,1
83,1,1
84,1,0.948
85,1,0.6986
86,1,0.885
87,1,0.885
88,1,0.885
89,1,1
90,1,1
91,1,0.6986
92,1,1
93,1,1
94,1,1
95,1,1
96,1,1
97,1,1
98,1,1
99,1,1
100,1,0
101,1,1
102,1,0.6
103,1,0
104,1,1
105,1,0
106,1,0
107,1,1
108,1,1
109,1,1
110,1,1
111,1,1
112,1,1
113,1,1
114,1,1
115,1,0.9599
116,1,1
117,1,0.868
118,1,0.945
119,1,1
120,1,1
121,1,1
122,1,1
123,1,1
124,1,1
125,1,1
126,1,1
127,1,0.613
128,1,1
129,1,1
130,1,1
131,1,1
132,1,1
133,1,1
134,1,0.929
135,1,1
136,1,1
137,1,1
138,1,1
139,1,1
140,1,1
141,1,1
142,1,1
143,1,1
144,1,1
145,1,1
146,1,1
147,1,1
148,1,1
149,1,1
150,1,1
151,1,1
152,1,1
153,1,1
154,1,1
155,1,1
156,1,1
157,1,1
158,1,1
159,1,1
160,1,1
161,1,1
162,1,1
163,1,1
164,1,1
165,1,1
166,1,0.9444
167,1,0.9444
168,1,0.9444
169,1,0.9444
170,1,0.9444
171,1,0.9444
172,1,0.9444
173,1,0.9444
174,1,0.9444
175,1,0.9444
176,1,0.9444
177,1,0.9444
178,1,0.9444
179,1,0.9444
180,1,0.9444
181,1,0.9444
182,1,0.9444
183,1,0.9444
184,1,0.9444
185,1,0.9444
186,1,0.9444
187,1,0.9444
188,1,0.9444
189,1,0.9444
190,1,0.9444
191,1,0.9444
192,1,0.9444
193,1,0.9444
194,1,0.9444
195,1,0
196,1,0.968
